garage_id,name,latitude,longitude,city,specializations,avg_rating,num_reviews,completion_rate,avg_completion_days,total_bays,available_bays,avg_hourly_rate,price_range,equipment_score,certified,years_in_business
GAR050,Capital Auto Clinic Dehiwala,6.777506,79.855932,Dehiwala,"ac_repair,body_work,electrical,general_repair,paint_work",4.03,50,0.9,4.98,8,7,3950,mid_range,0.765,1,16
GAR051,Modern Service Center Maharagama,6.727916,79.844319,Maharagama,"ac_repair,suspension,transmission",3.79,15,0.868,3.97,8,5,3874,mid_range,0.751,0,17
GAR052,Quick Service Center Nugegoda,6.781275,79.850281,Nugegoda,"engine_repair,general_repair,paint_work",4.22,97,0.914,3.74,6,6,3774,mid_range,0.74,1,7
GAR053,Metro Auto Clinic Moratuwa,6.7849,79.820105,Moratuwa,"engine_repair,suspension",4.35,58,0.907,6.02,4,0,2822,budget,0.751,1,10
GAR054,City Repair Hub Kotte,6.866008,79.939483,Kotte,body_work,4.1,73,0.9,3.77,5,0,2339,budget,0.78,1,19
GAR055,Quick Motor Works Colombo,6.958517,79.822817,Colombo,"body_work,brake_system,general_repair,paint_work",3.66,18,0.88,4.75,3,3,4079,mid_range,0.79,1,26
GAR056,Western Motor Works Nugegoda,6.937222,79.845137,Nugegoda,"ac_repair,brake_system,general_repair,transmission",3.91,27,0.895,5.17,6,6,3538,mid_range,0.716,1,14
GAR057,City Service Center Colombo,6.763308,79.932086,Colombo,"general_repair,paint_work",3.83,15,0.883,3.77,6,3,2465,budget,0.722,1,6
GAR058,Modern Repair Hub Colombo,6.769443,79.941391,Colombo,electrical,4.03,39,0.884,2.83,7,6,2112,budget,0.732,0,30
GAR059,Prime Garage Colombo,6.767443,79.829798,Colombo,body_work,3.86,15,0.884,5.03,6,2,3655,mid_range,0.824,1,6
GAR060,Express Auto Clinic Dehiwala,6.840609,79.860818,Dehiwala,"ac_repair,body_work,electrical,general_repair,transmission",3.9,15,0.88,3.26,8,0,4789,premium,0.766,0,2
GAR061,Capital Auto House Colombo,6.988573,79.967192,Colombo,transmission,4.39,60,0.888,6.04,8,4,2256,budget,0.74,0,19
GAR062,Reliable Auto Care Colombo,6.875599,79.926957,Colombo,"ac_repair,brake_system,engine_repair,suspension",4.1,55,0.898,5.04,8,4,2339,budget,0.711,1,22
GAR063,Auto Repair Hub Nugegoda,6.820136,79.9521,Nugegoda,suspension,4.47,114,0.902,5.05,5,4,4577,mid_range,0.682,0,9
GAR064,Reliable Motor Works Battaramulla,6.700345,79.973873,Battaramulla,electrical,4.29,196,0.913,1.5,5,1,3080,mid_range,0.69,0,17
GAR065,Royal Repair Hub Colombo,6.739304,79.857606,Colombo,body_work,3.91,16,0.884,5.14,5,4,3671,mid_range,0.844,1,21
GAR066,Master Auto Care Colombo,6.822397,79.84494,Colombo,"electrical,engine_repair,paint_work,suspension",3.93,15,0.882,5.42,5,3,2840,mid_range,0.842,1,10
GAR067,Royal Auto House Colombo,6.86538,79.876717,Colombo,"brake_system,electrical,engine_repair,general_repair,paint_work",3.94,15,0.869,2.09,4,2,3443,mid_range,0.812,1,30
GAR068,Master Garage Battaramulla,6.873977,79.931988,Battaramulla,"ac_repair,brake_system,engine_repair,general_repair",4.06,34,0.895,2.72,5,5,3275,mid_range,0.781,1,18
GAR069,Express Motors Colombo,6.814891,79.971203,Colombo,"ac_repair,brake_system,electrical",4.15,61,0.882,2.16,6,0,3856,mid_range,0.664,0,22
GAR070,Quick Repair Hub Colombo,6.989606,79.866399,Colombo,general_repair,4.01,66,0.885,5.42,6,0,4276,mid_range,0.726,0,30
GAR071,Modern Motor Works Moratuwa,6.990761,79.867712,Moratuwa,suspension,4.66,481,0.926,4.77,7,0,3376,mid_range,0.799,1,28
GAR072,Prime Service Center Nugegoda,6.770431,79.93688,Nugegoda,brake_system,3.95,15,0.866,2.58,2,1,4029,mid_range,0.632,0,4
GAR073,Elite Motors Colombo,6.78984,79.805789,Colombo,"electrical,general_repair,suspension",4.1,15,0.891,7.44,3,1,2901,budget,0.754,1,5
GAR074,Union Service Center Colombo,6.882848,79.876509,Colombo,"ac_repair,electrical,engine_repair,suspension",3.73,15,0.854,1.52,5,2,3692,mid_range,0.718,0,9
GAR075,Elite Auto House Nugegoda,6.747393,79.888346,Nugegoda,"brake_system,electrical,transmission",3.89,15,0.86,3.38,5,1,3683,mid_range,0.673,0,28
GAR076,Modern Auto Clinic Dehiwala,6.807688,79.859174,Dehiwala,brake_system,4.18,21,0.879,4.2,2,2,1906,budget,0.745,0,9
GAR077,Pro Service Center Maharagama,6.949852,79.980587,Maharagama,"electrical,general_repair,paint_work,suspension,transmission",3.87,22,0.878,6.36,3,0,3223,mid_range,0.66,0,9
GAR078,Reliable Motors Malabe,6.893902,79.861787,Malabe,"ac_repair,body_work,engine_repair,general_repair,suspension",3.93,26,0.885,4.74,8,8,3444,mid_range,0.739,1,24
GAR079,Royal Repair Hub Moratuwa,6.781758,79.832909,Moratuwa,"electrical,paint_work,suspension",3.85,17,0.872,2.73,5,4,2190,budget,0.605,0,3
GAR080,Western Auto Care Dehiwala,6.937205,79.802784,Dehiwala,"ac_repair,electrical,suspension,transmission",4.32,259,0.92,7.69,6,0,3788,mid_range,0.766,1,27
GAR081,Capital Service Center Nugegoda,6.982951,79.865601,Nugegoda,ac_repair,3.88,26,0.893,3.09,3,0,2697,mid_range,0.76,1,30
GAR082,Quick Service Center Kotte,6.791309,79.898525,Kotte,"brake_system,electrical,engine_repair,general_repair,transmission",3.75,21,0.87,3.99,5,3,4344,mid_range,0.764,0,14
GAR083,Modern Car Care Nugegoda,6.981716,79.855948,Nugegoda,"ac_repair,general_repair",3.94,24,0.896,2.17,7,5,5714,premium,0.837,1,8
GAR084,Master Repair Hub Colombo,6.782764,79.993641,Colombo,electrical,3.66,17,0.867,2.32,4,1,3963,mid_range,0.815,0,21
GAR085,Master Auto Works Kotte,6.936093,79.841041,Kotte,"electrical,general_repair",3.84,15,0.87,4.06,6,2,3204,mid_range,0.677,0,11
GAR086,Prime Garage Battaramulla,6.743406,79.825998,Battaramulla,body_work,4.1,35,0.884,4.13,3,2,2204,budget,0.675,0,5
GAR087,Express Auto Works Colombo,6.77961,79.825352,Colombo,paint_work,4.01,54,0.903,2.0,6,3,3550,mid_range,0.788,1,16
GAR088,Pro Auto Works Moratuwa,6.983625,79.808673,Moratuwa,"ac_repair,body_work,general_repair",3.99,18,0.885,1.7,8,7,4342,premium,0.72,1,16
GAR089,Quick Garage Colombo,6.724237,79.921659,Colombo,"electrical,general_repair,suspension",3.97,30,0.899,3.92,9,1,3819,mid_range,0.667,1,20
GAR090,Royal Auto Works Maharagama,6.734324,79.930943,Maharagama,"ac_repair,brake_system",3.92,23,0.885,6.51,8,6,1956,budget,0.731,1,29
GAR091,Prime Car Care Maharagama,6.793765,79.862505,Maharagama,"ac_repair,paint_work",4.06,34,0.908,1.5,5,5,5118,premium,0.882,1,3
GAR092,Western Auto Works Dehiwala,6.739035,79.811996,Dehiwala,"brake_system,engine_repair,paint_work",4.15,77,0.889,4.1,4,4,3686,mid_range,0.69,0,28
GAR093,City Repair Hub Colombo,6.73108,79.901483,Colombo,"paint_work,suspension",4.32,128,0.913,3.41,5,3,3669,mid_range,0.729,1,28
GAR094,Capital Auto Works Battaramulla,6.992364,79.963685,Battaramulla,transmission,4.07,26,0.886,6.31,4,2,2416,budget,0.824,0,1
GAR095,Union Motor Works Dehiwala,6.754422,79.82865,Dehiwala,engine_repair,4.23,112,0.913,1.76,7,6,2500,mid_range,0.7,1,24
GAR096,Modern Car Care Dehiwala,6.802269,79.874011,Dehiwala,"body_work,brake_system,general_repair,paint_work,transmission",4.31,15,0.895,5.0,5,3,3663,mid_range,0.739,1,2
GAR097,Western Auto Care Nugegoda,6.824255,79.843114,Nugegoda,"brake_system,engine_repair,paint_work",4.22,47,0.899,4.41,4,1,2761,mid_range,0.807,1,22
GAR098,Prime Service Center Dehiwala,6.879797,79.801537,Dehiwala,"general_repair,transmission",4.53,49,0.904,4.31,6,1,2373,budget,0.762,1,11
GAR099,Master Car Care Dehiwala,6.911101,79.900052,Dehiwala,brake_system,4.1,103,0.907,4.57,5,2,3536,mid_range,0.726,1,28
GAR100,Express Auto Clinic Moratuwa,6.87202,79.9419,Moratuwa,brake_system,4.19,56,0.911,2.64,8,5,4638,premium,0.761,1,1
